Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:50:37.683,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:56.345, -0.02, 0.995, -0.105, -1.16, 0.122, -0.366, , , , , , , 1.005, -0.258, 105.727, 9.547, -67.307, 8.853, 29.58, 0.40591, 0.4473, 0.59747, 0.52731,
 16:50:37.710,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.235, 0.113, 0.949, -0.226, 0, 0, 0, , , , , , , -2.192, 2.17, 159.928, 0.680, -30.927, 20.887, 27.87, 0.06381, 0.17099, 0.76477, 0.61783,
 16:50:37.741,cd:75:20:e1:ef:ef, 2015-01-01 00:28:57.315, 0.218, 0.971, 0.096, 0, 0, 0, , , , , , , 0.599, 0.478, -15.145, -21.380, -36.727, -52.047, 28.89, 0.74017, 0.65027, -0.16916, -0.02371,
 16:50:37.743,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:56.345, -0.02, 0.994, -0.099, -0.305, 0.122, -0.488, , , , , , , 0.884, -0.236, 105.667, 9.960, -65.993, 9.673, 29.58, 0.40591, 0.4473, 0.59747, 0.52731,
 16:50:37.799,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.235, 0.119, 0.95, -0.237, 0, 0, 0, , , , , , , -2.181, 2.159, 159.911, 1.027, -31.033, 21.287, 27.87, 0.06381, 0.17099, 0.76477, 0.61783,
 16:50:37.860,cd:75:20:e1:ef:ef, 2015-01-01 00:28:57.315, 0.22, 0.969, 0.101, 0, 0, 0, , , , , , , 0.599, 0.478, -15.134, -21.380, -36.727, -52.047, 28.89, 0.74017, 0.65027, -0.16916, -0.02371,
 16:50:37.864,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:56.345, -0.017, 0.991, -0.102, -1.709, -0.183, -0.122, , , , , , , 0.802, -0.231, 105.661, 9.960, -65.993, 9.673, 29.58, 0.40723, 0.44626, 0.59631, 0.5285,
 16:50:37.952,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:56.700, -0.017, 1, -0.102, -0.061, 2.136, -0.305, , , , , , , 0.709, -0.242, 105.738, 9.960, -65.993, 9.673, 29.58, 0.40723, 0.44626, 0.59631, 0.5285,
 16:50:37.979,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.235, 0.12, 0.946, -0.24, 0, 0, 0, , , , , , , -2.153, 2.159, 159.89, 1.027, -31.033, 21.287, 27.87, 0.06375, 0.17181, 0.76495, 0.6174,
 16:50:37.981,cd:75:20:e1:ef:ef, 2015-01-01 00:28:57.315, 0.221, 0.969, 0.093, 0, 0, 0, , , , , , , 0.604, 0.478, -15.128, -21.653, -36.907, -50.727, 28.89, 0.74017, 0.65027, -0.16916, -0.02371,
 16:50:38.009,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.235, 0.121, 0.95, -0.237, 0, 0, 0, , , , , , , -2.153, 2.203, 159.89, 1.027, -31.033, 21.287, 27.87, 0.06375, 0.17181, 0.76495, 0.6174,
 16:50:38.011,cd:75:20:e1:ef:ef, 2015-01-01 00:28:57.315, 0.22, 0.972, 0.093, 0, 0, 0, , , , , , , 0.61, 0.483, -15.134, -21.653, -36.907, -50.727, 28.89, 0.74002, 0.65051, -0.16895, -0.02356,
 16:50:38.072,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:56.700, -0.019, 0.991, -0.095, -1.404, 0.854, -0.244, , , , , , , 0.483, -0.264, 105.721, 9.960, -65.993, 9.673, 29.58, 0.40723, 0.44626, 0.59631, 0.5285,
 16:50:38.131,cd:75:20:e1:ef:ef, 2015-01-01 00:28:57.820, 0.219, 0.971, 0.092, 0, 0, 0, , , , , , , 0.643, 0.472, -15.145, -21.653, -36.907, -50.727, 28.89, 0.74002, 0.65051, -0.16895, -0.02356,
 16:50:38.164,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:56.700, -0.018, 0.995, -0.097, -2.075, -0.183, -0.305, , , , , , , 0.39, -0.275, 105.754, 9.620, -65.213, 9.513, 29.58, 0.40723, 0.44626, 0.59631, 0.5285,
 16:50:38.219,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.235, 0.119, 0.95, -0.234, 0, 0, 0, , , , , , , -2.17, 2.137, 159.862, 1.027, -31.033, 21.287, 27.77, 0.06375, 0.17181, 0.76495, 0.6174,
 16:50:38.221,cd:75:20:e1:ef:ef, 2015-01-01 00:28:57.820, 0.22, 0.966, 0.092, 0, 0, 0, , , , , , , 0.654, 0.472, -15.139, -21.653, -36.907, -50.727, 28.89, 0.74002, 0.65051, -0.16895, -0.02356,
 16:50:38.249,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.920, 0.12, 0.95, -0.233, 0, 0, 0, , , , , , , -2.148, 2.131, 159.835, 1.027, -31.033, 21.287, 27.77, 0.06375, 0.17181, 0.76495, 0.6174,
 16:50:38.281,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.060, -0.016, 0.992, -0.097, -1.648, -0.671, -0.366, , , , , , , 0.335, -0.269, 105.76, 9.620, -65.213, 9.513, 29.58, 0.40839, 0.44424, 0.59445, 0.53137,
 16:50:38.339,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.920, 0.119, 0.943, -0.228, 0, 0, 0, , , , , , , -2.137, 2.12, 159.818, 1.027, -31.033, 21.287, 27.77, 0.06375, 0.17181, 0.76495, 0.6174,
 16:50:38.341,cd:75:20:e1:ef:ef, 2015-01-01 00:28:57.820, 0.221, 0.971, 0.086, 0, 0, 0, , , , , , , 0.659, 0.472, -15.128, -21.387, -36.913, -51.213, 28.89, 0.74002, 0.65051, -0.16895, -0.02356,
 16:50:38.371,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.060, -0.018, 0.993, -0.09, -2.563, 0.916, -0.732, , , , , , , 0.297, -0.258, 105.804, 9.620, -65.213, 9.513, 29.58, 0.40839, 0.44424, 0.59445, 0.53137,
 16:50:38.400,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.920, 0.113, 0.948, -0.232, 0, 0, 0, , , , , , , -2.126, 2.115, 159.796, 1.027, -31.033, 21.287, 27.77, 0.06375, 0.17181, 0.76495, 0.6174,
 16:50:38.460,cd:75:20:e1:ef:ef, 2015-01-01 00:28:57.820, 0.219, 0.972, 0.086, 0, 0, 0, , , , , , , 0.67, 0.478, -15.117, -21.387, -36.913, -51.213, 28.89, 0.73969, 0.65091, -0.16888, -0.02328,
 16:50:38.494,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.060, -0.022, 0.999, -0.09, -1.709, 0.061, -0.549, , , , , , , 0.203, -0.22, 106.007, 10.560, -64.660, 9.427, 29.58, 0.40839, 0.44424, 0.59445, 0.53137,
 16:50:38.552,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.265, 0.216, 0.97, 0.086, 0, 0, 0, , , , , , , 0.681, 0.478, -15.106, -21.387, -36.913, -51.213, 28.89, 0.73969, 0.65091, -0.16888, -0.02328,
 16:50:38.554,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.060, -0.019, 0.997, -0.087, -3.906, -0.671, -0.366, , , , , , , 0.198, -0.231, 106.062, 10.560, -64.660, 9.427, 29.58, 0.40781, 0.44193, 0.595, 0.53317,
 16:50:38.579,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.920, 0.106, 0.95, -0.24, 0, 0, 0, , , , , , , -2.109, 2.104, 159.785, 0.293, -31.000, 21.300, 27.77, 0.06375, 0.17181, 0.76495, 0.6174,
 16:50:38.609,fe:77:90:13:0e:6b, 2015-01-01 00:28:58.920, 0.121, 0.953, -0.243, 0, 0, 0, , , , , , , -2.076, 2.093, 159.78, 0.293, -31.000, 21.300, 27.77, 0.06375, 0.17285, 0.76511, 0.61688,
 16:50:38.611,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.265, 0.221, 0.971, 0.083, 0, 0, 0, , , , , , , 0.692, 0.478, -15.095, -21.387, -36.913, -51.213, 28.89, 0.73969, 0.65091, -0.16888, -0.02328,
 16:50:38.672,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.385, -0.017, 0.996, -0.079, -0.916, -0.671, 0.061, , , , , , , 0.038, -0.242, 106.111, 10.560, -64.660, 9.427, 29.58, 0.40781, 0.44193, 0.595, 0.53317,
 16:50:38.730,fe:77:90:13:0e:6b, 2015-01-01 00:28:59.425, 0.119, 0.945, -0.24, 0, 0, 0, , , , , , , -2.049, 2.087, 159.769, 0.293, -31.000, 21.300, 27.77, 0.06375, 0.17285, 0.76511, 0.61688,
 16:50:38.730,cd:75:20:e1:ef:ef, 2015-01-01 00:28:58.265, 0.219, 0.969, 0.09, 0, 0, 0, , , , , , , 0.698, 0.483, -15.084, -21.387, -36.913, -51.213, 28.89, 0.73969, 0.65091, -0.16888, -0.02328,
 16:50:38.762,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:57.385, -0.021, 1, -0.083, -3.235, 0.061, -0.427, , , , , , , -0.082, -0.225, 106.161, 10.560, -64.660, 9.427, 29.58, 0.40781, 0.44193, 0.595, 0.53317,
