participant,device_location,segment_id,classified_posture,xmin,xmax,ymin,ymax
1,lower_back,0,unknown,0,0.0032954082643102756,-0.5205,-0.28
1,lower_back,1,neck slouch,0.0032954082643102756,0.0032954082643102756,-0.28,-0.28
1,lower_back,2,unknown,0.003993587970039808,0.003993587970039808,0.7003333333333334,0.7003333333333334
1,lower_back,3,neck slouch,0.003993587970039808,0.003993587970039808,0.7003333333333334,0.7003333333333334
1,lower_back,4,good+neck slouch,0.003993587970039808,0.007557097252003601,0.7003333333333334,2.129
1,lower_back,5,neck slouch,0.008221764363818246,0.008221764363818246,0.9586666666666667,0.9586666666666667
1,lower_back,6,good+neck slouch,0.008221764363818246,0.008221764363818246,0.9586666666666667,0.9586666666666667
1,lower_back,7,neck slouch,0.008886431475632891,0.010182252839012872,0.6555,0.800875
1,lower_back,8,good+neck slouch,0.010182252839012872,0.018001865543183632,0.800875,1.7964
1,lower_back,9,neck slouch,0.018672118220484635,0.018672118220484635,0.9329999999999999,0.9329999999999999
1,lower_back,10,good+neck slouch,0.018672118220484635,0.018672118220484635,0.9329999999999999,0.9329999999999999
1,lower_back,11,neck slouch,0.019269759878135083,0.019269759878135083,1.0964,1.0964
1,lower_back,12,good+neck slouch,0.019269759878135083,0.021928428325393667,0.9135,1.871
1,lower_back,13,neck slouch,0.02256516814244536,0.02256516814244536,0.9805,0.9805
1,lower_back,14,good+neck slouch,0.02256516814244536,0.023196322660345117,0.9805,2.9112
1,lower_back,15,good+neck slouch+shoulder slouch,0.023196322660345117,0.026022554077178132,2.9112,3.7001999999999997
1,lower_back,16,good+neck slouch,0.02665370859507789,0.02665370859507789,2.462,2.462
1,lower_back,17,good+neck slouch+shoulder slouch,0.02665370859507789,0.02665370859507789,2.462,2.462
1,lower_back,18,good+neck slouch,0.02722342322429981,0.03986885397989946,0.968,1.7006000000000001
1,lower_back,19,neck slouch,0.04033244526189036,0.04089657459196035,0.5196,0.6692
1,lower_back,20,good+neck slouch,0.04089657459196035,0.04089657459196035,0.6692,0.6692
1,lower_back,21,unknown,0.0414942162496108,0.0414942162496108,0.6748333333333333,0.6748333333333333
1,lower_back,22,neck slouch,0.0414942162496108,0.0414942162496108,0.6748333333333333,0.6748333333333333
1,lower_back,23,good+neck slouch,0.0414942162496108,0.0414942162496108,0.6748333333333333,0.6748333333333333
1,lower_back,24,unknown,0.04209744373908202,0.04286264863264133,0.07142857142857142,0.7032
1,lower_back,25,neck slouch,0.04286264863264133,0.04286264863264133,0.7032,0.7032
1,lower_back,26,good+neck slouch,0.04286264863264133,0.04286264863264133,0.7032,0.7032
1,lower_back,27,neck slouch,0.0434602905566262,0.0434602905566262,0.8668,0.8668
1,lower_back,28,good+neck slouch,0.0434602905566262,0.0434602905566262,0.8668,0.8668
